id,date,sleep_duration_hr,steps,nightly_temperature,stress_score,daily_temperature_variation,lightly_active_minutes,moderately_active_minutes,very_active_minutes
621e2e8e67b776a24055b564,2021-07-11,8.916666666666666,11235.0,33.6863899254,69.0,-1.650666566232208,153.0,39.0,32.0
621e2e8e67b776a24055b564,2021-07-12,8.716666666666667,8846.0,34.2078474903,78.0,-1.7793409318055786,164.0,23.0,32.0
621e2e8e67b776a24055b564,2021-07-13,9.85,8513.0,34.290998308,71.0,-2.154991058538407,134.0,19.0,33.0
621e2e8e67b776a24055b564,2021-07-14,7.8,8768.0,34.2270940171,70.0,-2.8342684167408123,195.0,19.0,45.0
621e2e8e67b776a24055b564,2021-07-15,9.866666666666667,8585.0,34.2594932432,75.0,-2.6296489274246304,144.0,25.0,28.0
621e2e8e67b776a24055b564,2021-07-16,8.316666666666666,9985.0,34.1102204409,72.0,-2.359887196888889,115.0,39.0,43.0
621e2e8e67b776a24055b564,2021-07-17,8.983333333333333,8882.0,34.2542857143,77.0,-1.1997196213674353,92.0,52.0,28.0
621e2e8e67b776a24055b564,2021-07-18,9.033333333333331,10071.0,34.7185424354,79.0,-1.055228131377406,141.0,60.0,27.0
621e2e8e67b776a24055b564,2021-07-19,10.65,10208.0,34.4789386792,72.0,-2.0479742677860724,189.0,41.0,34.0
621e2e8e67b776a24055b564,2021-07-20,6.616666666666666,10565.0,34.2954773869,69.0,-1.9728479275486035,185.0,37.0,27.0
621e2e8e67b776a24055b564,2021-07-21,9.9,10232.0,34.5543097643,82.0,-2.217199759221605,147.0,33.0,33.0
621e2e8e67b776a24055b564,2021-07-22,8.633333333333333,9592.0,34.6895136187,66.0,-2.152139647029692,147.0,21.0,37.0
621e2e8e67b776a24055b564,2021-07-23,7.883333333333334,12525.0,34.5156553911,74.0,-1.1258266341802574,178.0,40.0,45.0
621e2e8e67b776a24055b564,2021-07-24,9.866666666666667,11918.0,34.4353885135,76.0,-0.9337654871087684,191.0,49.0,35.0
621e2e8e67b776a24055b564,2021-07-25,9.2,2472.0,34.6332155797,80.0,-0.3873506459529248,142.0,0.0,0.0
621e2e8e67b776a24055b564,2021-07-26,8.916666666666666,12090.0,34.2120373832,80.0,-2.000222694724387,121.0,25.0,61.0
621e2e8e67b776a24055b564,2021-07-27,9.533333333333331,1911.0,34.4414947552,85.0,-0.9562503674013928,104.0,0.0,0.0
621e2e8e67b776a24055b564,2021-07-28,10.083333333333334,8522.0,34.1920082645,77.0,-2.242677723855355,124.0,18.0,38.0
621e2e8e67b776a24055b564,2021-07-29,9.6,18004.0,33.8881109185,77.0,-2.408258933576569,167.0,64.0,65.0
621e2e8e67b776a24055b564,2021-07-30,5.116666666666666,9841.0,34.1264098361,77.0,-1.805184089486701,171.0,79.0,45.0
621e2e8e67b776a24055b564,2021-07-31,9.55,11435.0,34.2107678883,84.0,-1.7693493835508771,190.0,38.0,30.0
621e2e8e67b776a24055b564,2021-08-01,9.216666666666669,3593.0,34.1892495479,84.0,-1.011030484174477,92.0,15.0,2.0
621e2eaf67b776a2406b14ac,2021-11-03,9.166666666666666,15010.0,33.3773168498,81.0,-1.5383353683185184,300.0,21.0,29.0
621e2eaf67b776a2406b14ac,2021-11-04,7.35,14488.0,33.9052866972,85.0,-1.668980740289668,326.0,13.0,20.0
621e2eaf67b776a2406b14ac,2021-11-05,7.633333333333334,18084.0,34.2629148472,81.0,-1.8536804427579243,361.0,24.0,20.0
621e2eaf67b776a2406b14ac,2021-11-06,6.816666666666666,26027.0,34.4886829268,81.0,-2.136981901566642,398.0,72.0,48.0
621e2eaf67b776a2406b14ac,2021-11-07,7.65,13168.0,34.3177124183,80.0,-2.270676764074824,326.0,22.0,21.0
621e2eaf67b776a2406b14ac,2021-11-08,8.35,16465.0,33.888376494,93.0,-1.978626805483444,286.0,30.0,51.0
621e2eaf67b776a2406b14ac,2021-11-09,7.233333333333333,13146.0,33.7797926267,89.0,-2.6496177076529617,287.0,17.0,32.0
621e2eaf67b776a2406b14ac,2021-11-10,8.05,16898.0,33.709803719,94.0,-2.436480908687491,311.0,34.0,42.0
621e2eaf67b776a2406b14ac,2021-11-11,7.866666666666666,19682.0,33.951205074,91.0,-2.2802308104637854,304.0,51.0,47.0
621e2eaf67b776a2406b14ac,2021-11-12,8.433333333333334,20238.0,34.2938043478,75.0,-1.731006417750776,283.0,53.0,48.0
621e2eaf67b776a2406b14ac,2021-11-13,9.7,14995.0,34.1067783505,85.0,-2.053613684885459,294.0,18.0,19.0
621e2eaf67b776a2406b14ac,2021-11-14,7.0,14958.0,34.2604761905,76.0,-1.9855359348392296,273.0,30.0,23.0
621e2eaf67b776a2406b14ac,2021-11-15,4.416666666666667,32655.0,34.2436226415,81.0,-3.319213820941299,472.0,103.0,87.0
621e2eaf67b776a2406b14ac,2021-11-16,5.316666666666666,17329.0,34.7940595611,63.0,-2.207830303551049,399.0,31.0,23.0
